# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Role Playing    |     Top Free | 2 | 2014-09-06 | /jacobs/APKs/co/com./com.rovi/com.rovio.gold/1.0.14/com.rovio.gold.apk                                                                                                                                                                                                         
Games > Role Playing    |     Top Free | 2 | 2014-03-23 | /jacobs/APKs/co/com./com.vena/com.venan.boh/2.0.3/com.venan.boh.apk                                                                                                                                                                                                            
Games > Simulation      |     Top Free | 1 | 2014-09-16 | /jacobs/APKs/co/com./com.ea.g/com.ea.games.simsfreeplay_row/5.7.0/com.ea.games.simsfreeplay_row.apk                                                                                                                                                                            
Games > Simulation      |     Top Free | 1 | 2014-08-08 | /jacobs/APKs/co/com./com.ludi/com.ludia.dragons/1.3.9/com.ludia.dragons.apk                                                                                                                                                                                                    
Games > Simulation      |     Top Free | 1 | 2014-03-18 | /jacobs/APKs/co/com./com.solv/com.solver.worldofcubes/1.7/com.solver.worldofcubes.apk                                                                                                                                                                                          
Games > Simulation      |     Top Free | 1 | 2014-09-05 | /jacobs/APKs/co/com./com.VaRC/com.VaRConcepts.Water_Slide_Simulator/1.01/com.VaRConcepts.Water_Slide_Simulator.apk                                                                                                                                                             
Games > Simulation      |     Top Free | 2 | 2014-06-16 | /jacobs/APKs/co/com./com.shar/com.shark.simulator.free/1.0/com.shark.simulator.free.apk                                                                                                                                                                                        
Games > Sports          |     Top Free | 1 | 2014-05-23 | /jacobs/APKs/co/com./com.fifa/com.fifa.stickeralbum.android/1.0/com.fifa.stickeralbum.android.apk                                                                                                                                                                              
Games > Sports          |     Top Free | 1 | 2014-05-02 | /jacobs/APKs/co/com./com.acto/com.actoz.OneForEleven/1.4.0/com.actoz.OneForEleven.apk                                                                                                                                                                                          
Games > Sports          |     Top Free | 1 | 2014-03-20 | /jacobs/APKs/co/com./com.ezon/com.ezone.Snowboard/3.0.2/com.ezone.Snowboard.apk                                                                                                                                                                                                
Games > Sports          |     Top Free | 1 | 2014-04-01 | /jacobs/APKs/co/com./com.cg.t/com.cg.tennis/1.2/com.cg.tennis.apk                                                                                                                                                                                                              
Games > Sports          |     Top Free | 1 | 2014-06-28 | /jacobs/APKs/co/com./com.djin/com.djinnworks.StickmanSoccer2014/1.5/com.djinnworks.StickmanSoccer2014.apk                                                                                                                                                                      
Games > Sports Games    |     Top Free | 1 | 2014-03-01 | /jacobs/APKs/co/com./com.gira/com.giraffegames.realtabletennis/1.5/com.giraffegames.realtabletennis.apk                                                                                                                                                                        
Games > Sports Games    |     Top Free | 1 | 2014-03-13 | /jacobs/APKs/co/com./com.ea.g/com.ea.game.fifa14_row/1.3.3/com.ea.game.fifa14_row.apk                                                                                                                                                                                          
Games > Sports Games    |     Top Free | 1 | 2014-02-13 | /jacobs/APKs/co/com./com.tang/com.tangram3D.WinterSports/1.5/com.tangram3D.WinterSports.apk                                                                                                                                                                                    
Games > Sports Games    |     Top Free | 2 | 2014-03-16 | /jacobs/APKs/co/com./com.ezon/com.ezone.Snowboard/3.0.2/com.ezone.Snowboard.apk                                                                                                                                                                                                
Games > Sports Games    |     Top Free | 3 | 2014-03-01 | /jacobs/APKs/co/com./com.bavi/com.baviux.doodlejuggle.free/1.2.4/com.baviux.doodlejuggle.free.apk                                                                                                                                                                              
Games > Strategy        |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.supe/com.supercell.clashofclans/6.253.5/com.supercell.clashofclans.apk                                                                                                                                                                                
Games > Strategy        |     Top Free | 2 | 2014-04-02 | /jacobs/APKs/co/com./com.luca/com.lucasarts.starwarsccg_goo/1.1.4/com.lucasarts.starwarsccg_goo.apk                                                                                                                                                                            
Games > Strategy        |     Top Free | 2 | 2014-10-08 | /jacobs/APKs/co/com./com.luca/com.lucasarts.starts_goo/2.1.3/com.lucasarts.starts_goo.apk                                                                                                                                                                                      
Games > Strategy        |     Top Free | 2 | 2014-08-15 | /jacobs/APKs/co/com./com.supe/com.supercell.boombeach/17.105/com.supercell.boombeach.apk                                                                                                                                                                                       
